Longitude Bin,Latitude Bin,Longitude,Latitude,"PM1, ug/m3","PM2.5, ug/m3","PM10, ug/m3"
"(-1.80015, -1.80013]","(53.805272, 53.805282]",,,,,
"(-1.80015, -1.80013]","(53.805282, 53.805291]",,,,,
"(-1.80015, -1.80013]","(53.805291, 53.8053]",,,,,
"(-1.80015, -1.80013]","(53.8053, 53.805309]",,,,,
"(-1.80015, -1.80013]","(53.805309, 53.805317]",,,,,
"(-1.80015, -1.80013]","(53.805317, 53.805326]",,,,,
"(-1.80015, -1.80013]","(53.805326, 53.805335]",,,,,
"(-1.80015, -1.80013]","(53.805335, 53.805344]",,,,,
"(-1.80015, -1.80013]","(53.805344, 53.805353]",,,,,
"(-1.80015, -1.80013]","(53.805353, 53.805362]",,,,,
"(-1.80015, -1.80013]","(53.805362, 53.805371]",,,,,
"(-1.80015, -1.80013]","(53.805371, 53.80538]",,,,,
"(-1.80015, -1.80013]","(53.80538, 53.805389]",,,,,
"(-1.80015, -1.80013]","(53.805389, 53.805398]",,,,,
"(-1.80015, -1.80013]","(53.805398, 53.805407]",,,,,
"(-1.80015, -1.80013]","(53.805407, 53.805416]",,,,,
"(-1.80015, -1.80013]","(53.805416, 53.805425]",,,,,
"(-1.80015, -1.80013]","(53.805425, 53.805434]",,,,,
"(-1.80015, -1.80013]","(53.805434, 53.805443]",,,,,
"(-1.80015, -1.80013]","(53.805443, 53.805452]",,,,,
"(-1.80015, -1.80013]","(53.805452, 53.805461]",,,,,
"(-1.80015, -1.80013]","(53.805461, 53.80547]",,,,,
"(-1.80015, -1.80013]","(53.80547, 53.805479]",,,,,
"(-1.80015, -1.80013]","(53.805479, 53.805488]",,,,,
"(-1.80015, -1.80013]","(53.805488, 53.805497]",,,,,
"(-1.80015, -1.80013]","(53.805497, 53.805505]",,,,,
"(-1.80015, -1.80013]","(53.805505, 53.805514]",,,,,
"(-1.80015, -1.80013]","(53.805514, 53.805523]",,,,,
"(-1.80015, -1.80013]","(53.805523, 53.805532]",,,,,
"(-1.80015, -1.80013]","(53.805532, 53.805541]",,,,,
"(-1.80015, -1.80013]","(53.805541, 53.80555]",,,,,
"(-1.80015, -1.80013]","(53.80555, 53.805559]",,,,,
"(-1.80015, -1.80013]","(53.805559, 53.805568]",,,,,
"(-1.80015, -1.80013]","(53.805568, 53.805577]",,,,,
"(-1.80015, -1.80013]","(53.805577, 53.805586]",,,,,
"(-1.80015, -1.80013]","(53.805586, 53.805595]",,,,,
"(-1.80015, -1.80013]","(53.805595, 53.805604]",,,,,
"(-1.80015, -1.80013]","(53.805604, 53.805613]",,,,,
"(-1.80015, -1.80013]","(53.805613, 53.805622]",,,,,
"(-1.80015, -1.80013]","(53.805622, 53.805631]",,,,,
"(-1.80015, -1.80013]","(53.805631, 53.80564]",,,,,
"(-1.80015, -1.80013]","(53.80564, 53.805649]",,,,,
"(-1.80015, -1.80013]","(53.805649, 53.805658]",,,,,
"(-1.80015, -1.80013]","(53.805658, 53.805667]",,,,,
"(-1.80015, -1.80013]","(53.805667, 53.805676]",,,,,
"(-1.80015, -1.80013]","(53.805676, 53.805685]",,,,,
"(-1.80015, -1.80013]","(53.805685, 53.805694]",,,,,
"(-1.80015, -1.80013]","(53.805694, 53.805702]",,,,,
"(-1.80015, -1.80013]","(53.805702, 53.805711]",,,,,
"(-1.80015, -1.80013]","(53.805711, 53.80572]",,,,,
